fdc_id,NDB_number,fdc_id,data_type,description,food_category_id,publication_date
167622,35080,167622,sr_legacy_food,"Deer (venison), sitka, raw (Alaska Native)",24,2019-04-01
167623,35085,167623,sr_legacy_food,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",24,2019-04-01
167624,35086,167624,sr_legacy_food,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",24,2019-04-01
167625,35087,167625,sr_legacy_food,"Oil, whale, bowhead (Alaska Native)",24,2019-04-01
167626,35088,167626,sr_legacy_food,"Fish, whitefish, broad, liver (Alaska Native)",24,2019-04-01
167627,35130,167627,sr_legacy_food,"Mush, blue corn with ash (Navajo)",24,2019-04-01
167628,35131,167628,sr_legacy_food,"Cornmeal, blue (Navajo)",24,2019-04-01
167629,35132,167629,sr_legacy_food,"Melon, banana (Navajo)",24,2019-04-01
167630,35133,167630,sr_legacy_food,Chilchen (Red Berry Beverage) (Navajo),24,2019-04-01
167631,35134,167631,sr_legacy_food,"Corn, dried (Navajo)",24,2019-04-01
167632,35139,167632,sr_legacy_food,"Squash, Indian, cooked, boiled (Navajo)",24,2019-04-01
167633,35140,167633,sr_legacy_food,"Bread, kneel down (Navajo)",24,2019-04-01
167634,35141,167634,sr_legacy_food,"Mutton, cooked, roasted (Navajo)",24,2019-04-01
167635,35142,167635,sr_legacy_food,"Frybread, made with lard (Navajo)",24,2019-04-01
167636,35147,167636,sr_legacy_food,Tamales (Navajo),24,2019-04-01
167637,35148,167637,sr_legacy_food,"Stew, steamed corn (Navajo)",24,2019-04-01
167638,35149,167638,sr_legacy_food,"Fish, halibut, raw, with skin (Alaska Native)",24,2019-04-01
167639,35150,167639,sr_legacy_food,"Fish, salmon, coho (silver), raw (Alaska Native)",24,2019-04-01
167640,35155,167640,sr_legacy_food,"Blueberries, wild, raw (Alaska Native)",24,2019-04-01
167641,35156,167641,sr_legacy_food,"Oil, spotted seal (Alaska Native)",24,2019-04-01
167642,35157,167642,sr_legacy_food,"Fish, salmon, red, canned, bones removed (Alaska Native)",24,2019-04-01
167643,35158,167643,sr_legacy_food,"Fish, whitefish, eggs (Alaska Native)",24,2019-04-01
167644,35160,167644,sr_legacy_food,"Caribou, rump meat, half dried (Alaska Native)",24,2019-04-01
167645,35166,167645,sr_legacy_food,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",24,2019-04-01
167646,35167,167646,sr_legacy_food,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",24,2019-04-01
167647,35168,167647,sr_legacy_food,"Fish, salmon, king, with skin, kippered, (Alaska Native)",24,2019-04-01
167648,35169,167648,sr_legacy_food,"Fish, sheefish, raw (Alaska Native)",24,2019-04-01
167649,35174,167649,sr_legacy_food,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",24,2019-04-01
167650,35175,167650,sr_legacy_food,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",24,2019-04-01
167651,35176,167651,sr_legacy_food,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",24,2019-04-01
167652,35177,167652,sr_legacy_food,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",24,2019-04-01
167653,35183,167653,sr_legacy_food,"Corn, dried, yellow (Northern Plains Indians)",24,2019-04-01
167654,35184,167654,sr_legacy_food,"Smelt, dried (Alaska Native)",24,2019-04-01
167655,35185,167655,sr_legacy_food,"Frybread, made with lard (Apache)",24,2019-04-01
167656,35186,167656,sr_legacy_food,Corned beef and potatoes in tortilla (Apache),24,2019-04-01
167657,36060,167657,sr_legacy_food,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",25,2019-04-01
167658,36061,167658,sr_legacy_food,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",25,2019-04-01
167659,36401,167659,sr_legacy_food,"Restaurant, Latino, chicken and rice, entree, prepared",25,2019-04-01
167660,36403,167660,sr_legacy_food,"Restaurant, Latino, empanadas, beef, prepared",25,2019-04-01
167661,36408,167661,sr_legacy_food,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25,2019-04-01
167662,36409,167662,sr_legacy_food,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",25,2019-04-01
167663,36410,167663,sr_legacy_food,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",25,2019-04-01
167664,36411,167664,sr_legacy_food,"Restaurant, Latino, tamale, corn",25,2019-04-01
167665,36417,167665,sr_legacy_food,"Restaurant, Mexican, spanish rice",25,2019-04-01
167666,36418,167666,sr_legacy_food,"Restaurant, Mexican, refried beans",25,2019-04-01
167667,36601,167667,sr_legacy_food,"Restaurant, Chinese, egg rolls, assorted",25,2019-04-01
167668,36602,167668,sr_legacy_food,"Restaurant, Chinese, fried rice, without meat",25,2019-04-01
167669,36607,167669,sr_legacy_food,"CRACKER BARREL, steak fries",25,2019-04-01
167670,36608,167670,sr_legacy_food,"CRACKER BARREL, grilled sirloin steak",25,2019-04-01
167671,36609,167671,sr_legacy_food,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",25,2019-04-01
167672,36610,167672,sr_legacy_food,"DENNY'S, french fries",25,2019-04-01
167673,36615,167673,sr_legacy_food,"DENNY'S, top sirloin steak",25,2019-04-01
167674,36617,167674,sr_legacy_food,"Restaurant, Chinese, lemon chicken",25,2019-04-01
167675,36618,167675,sr_legacy_food,"Restaurant, Chinese, general tso's chicken",25,2019-04-01
167676,36619,167676,sr_legacy_food,"Restaurant, Chinese, kung pao chicken",25,2019-04-01
167677,36625,167677,sr_legacy_food,"Restaurant, Chinese, vegetable lo mein, without meat",25,2019-04-01
167678,36626,167678,sr_legacy_food,"Restaurant, Chinese, chicken and vegetables",25,2019-04-01
167679,36629,167679,sr_legacy_food,"Restaurant, Chinese, orange chicken",25,2019-04-01
167680,36630,167680,sr_legacy_food,"Restaurant, Italian, spaghetti with meat sauce",25,2019-04-01
167681,42055,167681,sr_legacy_food,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",14,2019-04-01
167682,42063,167682,sr_legacy_food,"Pectin, liquid",19,2019-04-01
167683,42074,167683,sr_legacy_food,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",19,2019-04-01
167684,42116,167684,sr_legacy_food,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",4,2019-04-01
167685,42129,167685,sr_legacy_food,"Bologna, beef and pork, low fat",7,2019-04-01
167686,42131,167686,sr_legacy_food,"Milk dessert, frozen, milk-fat free, chocolate",19,2019-04-01
167687,42135,167687,sr_legacy_food,"Whipped topping, frozen, low fat",1,2019-04-01
167688,42136,167688,sr_legacy_food,"Cream substitute, powdered, light",1,2019-04-01
167689,42148,167689,sr_legacy_food,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",19,2019-04-01
167690,42150,167690,sr_legacy_food,"Babyfood, apple yogurt dessert, strained",3,2019-04-01
167691,42151,167691,sr_legacy_food,"Vegetable oil-butter spread, reduced calorie",4,2019-04-01
167692,42153,167692,sr_legacy_food,"Salad dressing, blue or roquefort cheese dressing, light",4,2019-04-01
167693,42171,167693,sr_legacy_food,"Salad dressing, french dressing, reduced calorie",4,2019-04-01
167694,42173,167694,sr_legacy_food,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",7,2019-04-01
167695,42178,167695,sr_legacy_food,"Mayonnaise, made with tofu",4,2019-04-01
167696,42179,167696,sr_legacy_food,"Frankfurter, beef, low fat",7,2019-04-01
167697,42189,167697,sr_legacy_food,"Milk, buttermilk, fluid, cultured, reduced fat",1,2019-04-01
167698,42190,167698,sr_legacy_food,"Pork sausage rice links, brown and serve, cooked",7,2019-04-01
167699,42192,167699,sr_legacy_food,"Salad dressing, blue or roquefort cheese dressing, fat-free",4,2019-04-01
167700,42193,167700,sr_legacy_food,"Salad Dressing, mayonnaise-like, fat-free",4,2019-04-01
167701,42196,167701,sr_legacy_food,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",19,2019-04-01
167702,42231,167702,sr_legacy_food,"Oil, flaxseed, cold pressed",4,2019-04-01
167703,42235,167703,sr_legacy_food,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,2019-04-01
167704,43331,167704,sr_legacy_food,"Salad dressing, bacon and tomato",4,2019-04-01
167705,43340,167705,sr_legacy_food,"Cheese, parmesan, low sodium",1,2019-04-01
167706,43344,167706,sr_legacy_food,"Jams, preserves, marmalade, reduced sugar",19,2019-04-01
167707,43345,167707,sr_legacy_food,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",14,2019-04-01
167708,43365,167708,sr_legacy_food,"Tomato and vegetable juice, low sodium",11,2019-04-01
167709,43366,167709,sr_legacy_food,"Turkey, wing, smoked, cooked, with skin, bone removed",5,2019-04-01
167710,43367,167710,sr_legacy_food,"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,2019-04-01
167711,43369,167711,sr_legacy_food,"Beverages, Chocolate-flavored drink, whey and milk based",14,2019-04-01
167712,43378,167712,sr_legacy_food,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",10,2019-04-01
167713,43391,167713,sr_legacy_food,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",5,2019-04-01
167714,43392,167714,sr_legacy_food,"Hearts of palm, raw",11,2019-04-01
167715,43393,167715,sr_legacy_food,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",8,2019-04-01
167716,43396,167716,sr_legacy_food,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1,2019-04-01
167717,43406,167717,sr_legacy_food,Yeast extract spread,11,2019-04-01
167718,43408,167718,sr_legacy_food,"Babyfood, juice, pear",3,2019-04-01
167719,43410,167719,sr_legacy_food,"Chicken, meatless, breaded, fried",16,2019-04-01
167720,43417,167720,sr_legacy_food,"Babyfood, meat, beef with vegetables, toddler",3,2019-04-01
167721,43450,167721,sr_legacy_food,"Frozen novelties, juice type, juice with cream",19,2019-04-01
167722,43476,167722,sr_legacy_food,Tofu yogurt,16,2019-04-01
167723,43479,167723,sr_legacy_food,"Alcoholic beverage, rice (sake)",14,2019-04-01
167724,43483,167724,sr_legacy_food,"Millet, puffed",8,2019-04-01
167725,43495,167725,sr_legacy_food,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",8,2019-04-01
167726,43523,167726,sr_legacy_food,"Babyfood, mixed fruit yogurt, strained",3,2019-04-01
167727,43528,167727,sr_legacy_food,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",14,2019-04-01
167728,43529,167728,sr_legacy_food,"Babyfood, rice and apples, dry",3,2019-04-01
167729,43535,167729,sr_legacy_food,"Babyfood, juice, apple - cherry",3,2019-04-01
167730,43543,167730,sr_legacy_food,"Milk, imitation, non-soy",1,2019-04-01
167731,43544,167731,sr_legacy_food,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",3,2019-04-01
167732,43546,167732,sr_legacy_food,"Babyfood, banana no tapioca, strained",3,2019-04-01
167733,43550,167733,sr_legacy_food,"Babyfood, banana apple dessert, strained",3,2019-04-01
167734,43595,167734,sr_legacy_food,"Breakfast bar, corn flake crust with fruit",23,2019-04-01
167735,43597,167735,sr_legacy_food,"Cheese, mozzarella, low sodium",1,2019-04-01
167736,43598,167736,sr_legacy_food,"Mayonnaise dressing, no cholesterol",4,2019-04-01
167737,44005,167737,sr_legacy_food,"Oil, corn, peanut, and olive",4,2019-04-01
167738,44158,167738,sr_legacy_food,"Pie fillings, blueberry, canned",19,2019-04-01
167739,44203,167739,sr_legacy_food,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",14,2019-04-01
167740,44258,167740,sr_legacy_food,"Puddings, chocolate flavor, low calorie, regular, dry mix",19,2019-04-01
167741,44259,167741,sr_legacy_food,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",19,2019-04-01
167742,90240,167742,sr_legacy_food,"Mollusks, scallop, (bay and sea), cooked, steamed",15,2019-04-01
167743,90480,167743,sr_legacy_food,"Syrup, Cane",19,2019-04-01
167744,90560,167744,sr_legacy_food,"Mollusks, snail, raw",15,2019-04-01
167745,93600,167745,sr_legacy_food,"Turtle, green, raw",15,2019-04-01
167746,9150,167746,sr_legacy_food,"Lemons, raw, without peel",9,2019-04-01
167747,9152,167747,sr_legacy_food,"Lemon juice, raw",9,2019-04-01
167748,9153,167748,sr_legacy_food,"Lemon juice from concentrate, canned or bottled",9,2019-04-01
167749,9156,167749,sr_legacy_food,"Lemon peel, raw",9,2019-04-01
167750,9287,167750,sr_legacy_food,"Prickly pears, raw",9,2019-04-01
167751,9292,167751,sr_legacy_food,"Plums, dried (prunes), stewed, without added sugar",9,2019-04-01
167752,9293,167752,sr_legacy_food,"Plums, dried (prunes), stewed, with added sugar",9,2019-04-01
167753,9294,167753,sr_legacy_food,"Prune juice, canned",9,2019-04-01
167754,9295,167754,sr_legacy_food,"Pummelo, raw",9,2019-04-01
167755,9302,167755,sr_legacy_food,"Raspberries, raw",9,2019-04-01
167756,9304,167756,sr_legacy_food,"Raspberries, canned, red, heavy syrup pack, solids and liquids",9,2019-04-01
167757,9306,167757,sr_legacy_food,"Raspberries, frozen, red, sweetened",9,2019-04-01
167758,9307,167758,sr_legacy_food,"Rhubarb, raw",9,2019-04-01
167759,9313,167759,sr_legacy_food,"Sapodilla, raw",9,2019-04-01
167760,9314,167760,sr_legacy_food,"Sapote, mamey, raw",9,2019-04-01
167761,9315,167761,sr_legacy_food,"Soursop, raw",9,2019-04-01
167762,9316,167762,sr_legacy_food,"Strawberries, raw",9,2019-04-01
167763,9322,167763,sr_legacy_food,"Tamarinds, raw",9,2019-04-01
167764,9325,167764,sr_legacy_food,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",9,2019-04-01
167765,9326,167765,sr_legacy_food,"Watermelon, raw",9,2019-04-01
167766,9328,167766,sr_legacy_food,"Maraschino cherries, canned, drained",9,2019-04-01
167767,9354,167767,sr_legacy_food,"Pineapple, canned, juice pack, drained",9,2019-04-01
